Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C17, C2",0402,3,10uF,
"C10, C11, C12, C13, C14, C15, C3, C7, C8, C9",0402,10,100nF,
"C16, C6",0402,2,1uF,
"C4, C5",0402,2,15pF,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
J2,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
"J3, J4",PinHeader_1x12_P2.54mm_Vertical,2,Conn_01x12,
"R1, R2",0402,2,27,
"R3, R4",0402,2,5.1k,
"R5, R7",0402,2,1k,
R6,0402,1,DNF,
U1,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
U2,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,
