Designator,Mid X,Mid Y,Rotation,Layer
C1,196.01,-65.02,270.0,top
C10,189.11,-88.98,270.0,top
C11,195.05,-94.04,0.0,top
C12,198.8,-88.65,0.0,top
C13,198.32,-84.13,90.0,top
C14,197.86,-81.56,90.0,top
C15,193.14,-80.8,90.0,top
C16,196.93,-81.56,90.0,top
C17,197.83,-74.96,180.0,top
C2,200.32,-62.8,90.0,top
C3,192.19,-78.79,180.0,top
C4,195.03,-97.3,270.0,top
C5,192.07,-94.66,180.0,top
C6,196.01,-81.55,90.0,top
C7,195.82,-93.07,0.0,top
C8,191.69,-80.47,90.0,top
C9,188.62,-84.2,180.0,top
J1,193.54,-58.83,180.0,top
J2,184.87,-64.92,180.0,top
J3,202.27,-89.59,180.0,bottom
J4,184.81,-89.59,0.0,bottom
R1,194.11,-81.54,270.0,top
R2,195.05,-81.55,270.0,top
R3,194.88,-65.04,270.0,top
R4,191.79,-65.04,270.0,top
R5,187.99,-66.39,0.0,top
R6,190.78,-66.59,90.0,top
R7,193.5,-92.81,90.0,top
U1,200.19,-69.22,90.0,top
U2,190.915,-73.1025,180.0,top
U3,193.7275,-87.45,90.0,top
Y1,192.42,-97.25,0.0,top
